Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
SpikJa00,Jack Spikes,BUF,29,RB,14,0.0,0.0,0.0,0.0,0.0,28.0,119.0,3.0,1.0,2.0,45.0,1.0,1.0,0.0,39.4
CrenWi00,Willis Crenshaw,STL,25,RB,14,0.0,0.0,0.0,0.0,0.0,94.0,360.0,0.0,5.0,15.0,46.0,0.0,5.0,0.0,38.1
SmolMa00,Mark Smolinski,NYJ,27,RB,14,0.0,0.0,0.0,0.0,0.0,21.0,69.0,2.0,0.0,11.0,74.0,1.0,0.0,0.0,37.8
LewiGa01,Gary Lewis,SFO,24,RB,14,0.0,0.0,0.0,0.0,0.0,36.0,130.0,2.0,1.0,7.0,44.0,1.0,1.0,0.0,36.9
MasoTo00,Tommy Mason,MIN,27,RB,7,0.0,0.0,0.0,0.0,0.0,58.0,235.0,2.0,6.0,7.0,39.0,1.0,6.0,0.0,36.9
ButlCa00,Cannonball Butler,PIT,23,RB,14,0.0,0.0,0.0,0.0,0.0,46.0,114.0,2.0,4.0,4.0,93.0,1.0,4.0,0.0,32.7
LewiDa02,Dan Lewis,NYG,30,RB,13,1.0,1.0,4.0,0.0,0.0,32.0,164.0,1.0,1.0,6.0,87.0,0.0,1.0,0.0,32.26
CasaRi00,Rick Casares,MIA,35,RB,6,0.0,0.0,0.0,0.0,0.0,43.0,135.0,0.0,0.0,8.0,45.0,1.0,0.0,0.0,28.0
BullAm00,Amos Bullocks,PIT,27,RB,8,0.0,1.0,0.0,0.0,0.0,29.0,83.0,1.0,1.0,5.0,64.0,1.0,1.0,0.0,27.2
ArneJo00,Jon Arnett,CHI,31,RB,14,0.0,1.0,0.0,0.0,0.0,55.0,178.0,1.0,3.0,10.0,42.0,0.0,3.0,0.0,27.0
RidlPr00,Preston Ridlehuber,ATL,23,RB,3,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,4.0,84.0,2.0,0.0,0.0,24.7
StigJi00,Jim Stiger,RAM,25,RB,14,0.0,0.0,0.0,0.0,0.0,24.0,95.0,0.0,2.0,8.0,72.0,1.0,2.0,0.0,22.7
MatsOl00,Ollie Matson,PHI,36,RB,14,0.0,0.0,0.0,0.0,0.0,29.0,101.0,1.0,3.0,6.0,30.0,1.0,3.0,0.0,22.1
AndeDo00,Donny Anderson,GNB,23,RB,14,0.0,0.0,0.0,0.0,0.0,25.0,104.0,2.0,3.0,2.0,33.0,0.0,3.0,0.0,20.7
GrabJi00,Jim Grabowski,GNB,22,RB,14,0.0,0.0,0.0,0.0,0.0,29.0,127.0,1.0,2.0,4.0,13.0,0.0,2.0,0.0,18.0
TolaCh00,Charley Tolar,HOU,29,RB,14,0.0,1.0,0.0,0.0,0.0,46.0,105.0,0.0,3.0,13.0,68.0,0.0,3.0,0.0,17.8
FeltBo00,Bobby Felts,DET,24,RB,10,0.0,0.0,0.0,0.0,0.0,34.0,83.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,17.4
KoyxEr00,Ernie Koy,NYG,24,RB,13,0.0,2.0,0.0,0.0,0.0,66.0,146.0,0.0,3.0,8.0,43.0,0.0,3.0,0.0,16.9
